"bezirk_name","modus","durchschnittlicher_score","schlechte_erreichbarkeit_abs","schlechte_erreichbarkeit_proz","mittlere_erreichbarkeit_abs","mittlere_erreichbarkeit_proz","gute_erreichbarkeit_abs","gute_erreichbarkeit_proz","total_geb채ude"
"Wandsbek","Kind - Gehen 4.64kmh","4","10695","15.32","40424","57.90","18698","26.78","69817"
"Harburg","Kind - Gehen 4.64kmh","4","4881","17.57","14647","52.72","8252","29.70","27780"
"Bergedorf","Kind - Gehen 4.64kmh","4","8139","35.37","9087","39.48","5788","25.15","23014"
"Altona","Kind - Gehen 4.64kmh","5","3196","8.98","17679","49.67","14718","41.35","35593"
"Hamburg-Nord","Kind - Gehen 4.64kmh","5","669","2.78","11154","46.36","12238","50.86","24061"
"Hamburg-Mitte","Kind - Gehen 4.64kmh","5","1674","8.64","7229","37.29","10483","54.08","19386"
"Bergedorf","Kind - OPNV 4.64kmh","5","5342","23.21","7255","31.52","10417","45.26","23014"
"Harburg","Kind - OPNV 4.64kmh","5","3362","12.10","10206","36.74","14212","51.16","27780"
"Bergedorf","Kind - Fahrrad 10kmh","5","3641","15.82","6822","29.64","12551","54.54","23014"
"Eimsb체ttel","Kind - Gehen 4.64kmh","6","1266","4.29","10975","37.17","17285","58.54","29526"
"Altona","Kind - OPNV 4.64kmh","6","1774","4.98","11003","30.91","22816","64.10","35593"
"Hamburg-Nord","Kind - OPNV 4.64kmh","6","212","0.88","6093","25.32","17756","73.80","24061"
"Hamburg-Mitte","Kind - OPNV 4.64kmh","6","854","4.41","2745","14.16","15787","81.44","19386"
"Wandsbek","Kind - OPNV 4.64kmh","6","5256","7.53","23491","33.65","41070","58.83","69817"
"Harburg","Kind - Fahrrad 10kmh","6","1237","4.45","3604","12.97","22939","82.57","27780"
"Eimsb체ttel","Kind - OPNV 4.64kmh","7","89","0.30","3801","12.87","25636","86.83","29526"
"Altona","Kind - Fahrrad 10kmh","7","23","0.06","2564","7.20","33006","92.73","35593"
"Hamburg-Nord","Kind - Fahrrad 10kmh","7","0","0.00","149","0.62","23912","99.38","24061"
"Hamburg-Mitte","Kind - Fahrrad 10kmh","7","237","1.22","585","3.02","18564","95.76","19386"
"Wandsbek","Kind - Fahrrad 10kmh","7","209","0.30","3750","5.37","65858","94.33","69817"
"Eimsb체ttel","Kind - Fahrrad 10kmh","8","0","0.00","431","1.46","29095","98.54","29526"
